accuracy,auc_macro,auc_micro,f1_binary,f1_macro,f1_micro,r2,num_features,threshold,test_fold_i,train_r2,lambda_,max_features,split_version
0.9416058394160584,0.9542763157894737,0.9542763157894737,0.9285714285714285,0.939594356261023,0.9416058394160584,0.7596491228070175,4,0.5,1,0.9754229999999999,0.003,4,0
0.8676470588235294,0.9161172161172161,0.9161172161172161,0.8235294117647058,0.8588235294117648,0.8676470588235294,0.4021978021978023,1,0.53125,2,0.799447,0.003,4,0
0.9191176470588235,0.9522588522588523,0.9522588522588523,0.8842105263157894,0.9110318168302112,0.9191176470588235,0.6346764346764348,2,0.875,2,0.904025,0.003,4,0
0.9191176470588235,0.9597069597069599,0.9597069597069599,0.8791208791208792,0.9091736992289479,0.9191176470588235,0.6346764346764348,3,0.75,2,0.948119,0.003,4,0
0.9411764705882353,0.9606837606837608,0.9606837606837608,0.9148936170212767,0.9349748983982789,0.9411764705882353,0.7343101343101344,4,0.5,2,0.977741,0.003,4,0
0.9051094890510949,0.9698996655518394,0.9698996655518394,0.865979381443299,0.8962665268798415,0.9051094890510949,0.5745341614906831,1,0.514286,3,0.757749,0.003,4,0
0.8905109489051095,0.9701385570950789,0.9701385570950789,0.8275862068965518,0.8736861515766181,0.8905109489051094,0.509077878643096,2,0.615385,3,0.876832,0.003,4,0
0.9197080291970803,0.9860248447204969,0.9860248447204969,0.8674698795180723,0.9049391282407115,0.9197080291970803,0.6399904443382705,3,0.666667,3,0.9501860000000001,0.003,4,0
0.9343065693430657,0.9865026278069756,0.9865026278069756,0.891566265060241,0.9222229231060367,0.9343065693430657,0.7054467271858575,4,1.0,3,0.973391,0.003,4,0
0.9485294117647058,0.9828125,0.9828125,0.9401709401709402,0.9475048249241798,0.9485294117647058,0.7875,1,0.382353,0,0.756074,0.0001,4,0
0.9485294117647058,0.9683035714285715,0.9683035714285715,0.9380530973451328,0.9470139700562141,0.9485294117647058,0.7875,2,0.5,0,0.9119120000000001,0.0001,4,0
0.9485294117647058,0.9697544642857143,0.9697544642857143,0.9380530973451328,0.9470139700562141,0.9485294117647058,0.7875,3,0.5,0,0.9788530000000001,0.0001,4,0
0.4117647058823529,0.9703125,0.9703125,0.5833333333333334,0.2916666666666667,0.4117647058823529,-1.4285714285714288,4,0.0,0,1.0,0.0001,4,0
0.8905109489051095,0.9548245614035087,0.9548245614035087,0.8739495798319329,0.8885876931417729,0.8905109489051094,0.5493421052631577,1,0.516129,1,0.7770100000000001,0.0001,4,0
0.9562043795620438,0.9719298245614034,0.9719298245614034,0.9473684210526315,0.9549342105263159,0.9562043795620438,0.8197368421052631,2,0.666667,1,0.87097,0.0001,4,0
0.9343065693430657,0.9275219298245614,0.9275219298245614,0.9203539823008849,0.9322266805914363,0.9343065693430657,0.7296052631578946,3,0.5,1,0.95342,0.0001,4,0
0.9343065693430657,0.9275219298245614,0.9275219298245614,0.9203539823008849,0.9322266805914363,0.9343065693430657,0.7296052631578946,4,0.5,1,0.9843940000000001,0.0001,4,0
0.8676470588235294,0.9553113553113552,0.9553113553113552,0.8235294117647058,0.8588235294117648,0.8676470588235294,0.4021978021978023,1,0.53125,2,0.805443,0.0001,4,0
0.9191176470588235,0.9656898656898656,0.9656898656898656,0.88659793814433,0.9118703976435936,0.9191176470588235,0.6346764346764348,2,0.5,2,0.9321959999999999,0.0001,4,0
0.9191176470588235,0.9543345543345544,0.9543345543345544,0.88659793814433,0.9118703976435936,0.9191176470588235,0.6346764346764348,3,0.5,2,0.977215,0.0001,4,0
0.33088235294117646,0.9543345543345544,0.9543345543345544,0.4972375690607735,0.24861878453038674,0.33088235294117646,-2.0222222222222217,4,0.0,2,0.994337,0.0001,4,0
0.9051094890510949,0.9672718585762063,0.9672718585762063,0.865979381443299,0.8962665268798415,0.9051094890510949,0.5745341614906831,1,0.514286,3,0.758274,0.0001,4,0
0.8832116788321168,0.9423076923076923,0.9423076923076923,0.813953488372093,0.8644235526966848,0.8832116788321168,0.4763497372193024,2,0.615385,3,0.884748,0.0001,4,0
0.9343065693430657,0.9608217869087435,0.9608217869087435,0.8941176470588235,0.923249299719888,0.9343065693430657,0.7054467271858575,3,0.666667,3,0.9545790000000001,0.0001,4,0
0.927007299270073,0.9608217869087435,0.9608217869087435,0.8809523809523809,0.9141604010025062,0.927007299270073,0.672718585762064,4,1.0,3,0.9743450000000001,0.0001,4,0
0.9485294117647058,0.9828125,0.9828125,0.9401709401709402,0.9475048249241798,0.9485294117647058,0.7875,1,0.382353,0,0.756074,0.0003,4,0
0.9485294117647058,0.9683035714285715,0.9683035714285715,0.9380530973451328,0.9470139700562141,0.9485294117647058,0.7875,2,0.5,0,0.9119120000000001,0.0003,4,0
0.9485294117647058,0.9697544642857143,0.9697544642857143,0.9380530973451328,0.9470139700562141,0.9485294117647058,0.7875,3,0.5,0,0.9788530000000001,0.0003,4,0
0.4117647058823529,0.9703125,0.9703125,0.5833333333333334,0.2916666666666667,0.4117647058823529,-1.4285714285714288,4,0.0,0,1.0,0.0003,4,0
0.8905109489051095,0.9548245614035087,0.9548245614035087,0.8739495798319329,0.8885876931417729,0.8905109489051094,0.5493421052631577,1,0.516129,1,0.7770100000000001,0.0003,4,0
0.9635036496350365,0.9721491228070175,0.9721491228070175,0.9565217391304347,0.9625375991249658,0.9635036496350365,0.8497807017543859,2,0.666667,1,0.8709120000000001,0.0003,4,0
0.9343065693430657,0.9275219298245614,0.9275219298245614,0.9203539823008849,0.9322266805914363,0.9343065693430657,0.7296052631578946,3,0.5,1,0.95342,0.0003,4,0
0.9343065693430657,0.9275219298245614,0.9275219298245614,0.9203539823008849,0.9322266805914363,0.9343065693430657,0.7296052631578946,4,0.5,1,0.9843940000000001,0.0003,4,0
0.8676470588235294,0.9553113553113552,0.9553113553113552,0.8235294117647058,0.8588235294117648,0.8676470588235294,0.4021978021978023,1,0.53125,2,0.805443,0.0003,4,0
0.9191176470588235,0.9656898656898656,0.9656898656898656,0.88659793814433,0.9118703976435936,0.9191176470588235,0.6346764346764348,2,0.5,2,0.9321959999999999,0.0003,4,0
0.9191176470588235,0.9543345543345544,0.9543345543345544,0.88659793814433,0.9118703976435936,0.9191176470588235,0.6346764346764348,3,0.5,2,0.977215,0.0003,4,0
0.33088235294117646,0.9543345543345544,0.9543345543345544,0.4972375690607735,0.24861878453038674,0.33088235294117646,-2.0222222222222217,4,0.0,2,0.994337,0.0003,4,0
0.9051094890510949,0.9672718585762063,0.9672718585762063,0.865979381443299,0.8962665268798415,0.9051094890510949,0.5745341614906831,1,0.514286,3,0.758274,0.0003,4,0
0.8832116788321168,0.9423076923076923,0.9423076923076923,0.813953488372093,0.8644235526966848,0.8832116788321168,0.4763497372193024,2,0.615385,3,0.884748,0.0003,4,0
0.9343065693430657,0.9608217869087435,0.9608217869087435,0.8941176470588235,0.923249299719888,0.9343065693430657,0.7054467271858575,3,0.666667,3,0.9545790000000001,0.0003,4,0
0.927007299270073,0.9608217869087435,0.9608217869087435,0.8809523809523809,0.9141604010025062,0.927007299270073,0.672718585762064,4,1.0,3,0.9743450000000001,0.0003,4,0
